,address,city,state,zipcode,bathrooms,bedrooms,interior_features,rooms,cooling,heating,AC,appliances,laundry,sqft,price,taxes,tax_year,list_type,list_id,possession,lot_sqft,list_status,year_built,county,county_school_district,half_bath,subdivision,luxury_home
0,PHILADELPHIA MULTIFAMILY PORTFOLIO,Philadelphia,PA,19121,,,,,Central A/C,Central,Yes,,,2510.0,3949999.0,1562.0,2019.0,Multi-Family,PAPH850228,Settlement,1307.0,Active,2019.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Brewerytown,No
1,1932 SPRUCE ST,Philadelphia,PA,19103,,,,,Ductless/Mini-Split,Radiator,No,,,4001.0,2495000.0,15809.0,2019.0,Condo/Townhome,PAPH850326,Immediate,1742.0,Active,1900.0,Philadelphia County,THE SCHOOL DISTRICT OF PHILADELPHIA,,,Yes
2,602 N 5TH ST #6,Philadelphia,PA,19123,5.0,4.0,,,Central A/C,Forced Air,Yes,,Has Laundry,3850.0,1200000.0,2352.0,2019.0,Condo/Townhome,PAPH851000,Settlement,871.0,Active,,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Northern Liberties,Yes
3,468 MYRTLE ST,Philadelphia,PA,19123,3.0,3.0,,,Central A/C,Forced Air,Yes,,,3756.0,1150000.0,11268.0,2019.0,Condo/Townhome,PAPH850604,Immediate,1307.0,Active,2004.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Northern Liberties,Yes
4,1214 RODMAN ST,Philadelphia,PA,19147,3.0,4.0,,"Bedroom 2,  Bedroom 3,  Bedroom 4,  Kitchen,  Living Room,  Master Bedroom,  Office",Central A/C,Forced Air,Yes,"Built-In Microwave,  Dishwasher,  Disposal,  Dryer,  Washer",,2200.0,879900.0,8819.0,2019.0,Condo/Townhome,PAPH845810,Negotiable,871.0,Active,1970.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Washington Sq West,Yes
5,1332 ALTER ST,Philadelphia,PA,19147,4.0,3.0,,,Central A/C,Forced Air,Yes,,Has Laundry,2650.0,710000.0,3302.0,2019.0,Condo/Townhome,PAPH851022,Settlement,871.0,Active,,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Passyunk Square,No
6,1329-1333 POPLAR ST,Philadelphia,PA,19123,2.0,2.0,"Ceiling Fan(s),  Exposed Beams,  Kitchen - Eat-In,  Kitchen - Island,  Skylight(s),  Studio",,Central A/C,"Hot Water,  Radiant",Yes,,Lower Floor,3548.0,699000.0,6348.0,2019.0,Single Family,PAPH839016,"0-30 Days CD,  31-60 Days CD,  Immediate",3049.0,Active,1925.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,West Poplar,No
7,1753 N MARSHALL ST,Philadelphia,PA,19122,,,,,Central A/C,90% Forced Air,Yes,,,,679900.0,393.0,2019.0,Multi-Family,PAPH850956,Settlement,1307.0,Active,,Philadelphia County,THE SCHOOL DISTRICT OF PHILADELPHIA,,,No
8,6437 EMLEN ST,Philadelphia,PA,19119,4.0,7.0,"Floor Plan - Open,  Kitchen - Eat-In,  Kitchen - Gourmet,  Kitchen - Island,  Master Bath(s),  Recessed Lighting,  Soaking Tub,  Stall Shower","Bathroom 1,  Bathroom 2,  Bedroom 2,  Bedroom 3,  Bedroom 4,  Bedroom 5,  Bedroom 6,  Bonus Room,  Dining Room,  Kitchen,  Living Room,  Master Bedroom",Central A/C,Forced Air,Yes,"Dishwasher,  Disposal,  Energy Efficient Appliances,  Icemaker,  Oven - Self Cleaning,  Oven/Range - Gas,  Range Hood,  Refrigerator,  Stainless Steel Appliances",Upper Floor,4566.0,674900.0,6726.0,2019.0,Single Family,PAPH850746,Immediate,0.29 acres,Active,1925.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Mt Airy (West),No
9,2212 PANAMA ST,Philadelphia,PA,19103,2.0,2.0,,,Central A/C,Forced Air,Yes,,,813.0,585000.0,4510.0,2019.0,Condo/Townhome,PAPH851026,Negotiable,436.0,Active,,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Fitler Square,No
10,4531 SANSOM ST,Philadelphia,PA,19139,4.0,5.0,Recessed Lighting,"Dining Room,  Kitchen,  Living Room",Central A/C,Forced Air,Yes,"Built-In Microwave,  Dishwasher,  Oven/Range - Gas,  Refrigerator,  Stainless Steel Appliances",,2304.0,550000.0,4643.0,2019.0,Condo/Townhome,PAPH850836,Subject to Existing Lease,1742.0,Active,1925.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,University City,No
11,2667 COLLINS ST,Philadelphia,PA,19125,4.0,4.0,,,Central A/C,Forced Air,Yes,,,3000.0,525000.0,1000.0,2020.0,Condo/Townhome,PAPH851028,Settlement,871.0,Active,2019.0,Philadelphia County,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Fishtown,No
12,2068-70 E YORK ST,Philadelphia,PA,19125,2.0,3.0,,"Bathroom 2,  Bedroom 1,  Kitchen,  Living Room,  Recreation Room",Central A/C,Forced Air,Yes,,,2129.0,520000.0,896.0,2019.0,Condo/Townhome,PAPH850570,Negotiable,1307.0,Active,2013.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Fishtown,No
13,3211 PEARL ST,Philadelphia,PA,19104,4.0,5.0,,,Window Unit(s),Hot Water & Baseboard - Electric,No,,,1535.0,480000.0,3625.0,2019.0,Condo/Townhome,PAPH850668,Immediate,1307.0,Active,1925.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Powelton Village,No
14,2312 CORAL ST,Philadelphia,PA,19125,2.0,3.0,"Family Room Off Kitchen,  Floor Plan - Open,  Kitchen - Eat-In,  Master Bath(s),  Recessed Lighting",,Central A/C,Central,Yes,"Dryer,  Dryer - Gas,  Oven - Single,  Oven/Range - Gas,  Refrigerator,  Stainless Steel Appliances,  Washer,  Water Heater",Basement,1428.0,459900.0,3963.0,2019.0,Condo/Townhome,PAPH850996,31-60 Days CD,871.0,Active,,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Fishtown,No
15,414 MANTON ST,Philadelphia,PA,19147,3.0,4.0,"Ceiling Fan(s),  Combination Dining/Living,  Dining Area,  Floor Plan - Open,  Kitchen - Eat-In,  Recessed Lighting,  Wood Floors","Bedroom 2,  Bedroom 3,  Bedroom 4,  Full Bath,  Half Bath,  Kitchen,  Laundry,  Living Room,  Master Bedroom,  Office",Central A/C,Central,Yes,"Built-In Microwave,  Compactor,  Cooktop,  Dishwasher,  Dryer,  Oven - Double,  Oven - Self Cleaning,  Oven - Wall,  Refrigerator,  Stainless Steel Appliances,  Washer",Upper Floor,2200.0,450000.0,6386.0,2019.0,Condo/Townhome,PAPH849156,Negotiable,871.0,Active,1910.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Pennsport,No
16,2643 ELLSWORTH ST,Philadelphia,PA,19146,3.0,3.0,"Breakfast Area,  Combination Dining/Living,  Combination Kitchen/Dining,  Combination Kitchen/Living,  Dining Area,  Family Room Off Kitchen,  Floor Plan - Open,  Kitchen - Island,  Master Bath(s),  Recessed Lighting,  Sprinkler System,  Wood Floors",,Central A/C,Forced Air,Yes,"Dishwasher,  Disposal,  Microwave,  Oven/Range - Gas,  Refrigerator,  Stainless Steel Appliances,  Water Heater",,2065.0,435000.0,924.0,2019.0,Condo/Townhome,PAPH850434,Immediate,871.0,Active,2019.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Grays Ferry,No
17,235 W WINONA ST,Philadelphia,PA,19144,3.0,5.0,"Built-Ins,  Ceiling Fan(s),  Combination Kitchen/Dining,  Crown Moldings,  Kitchen - Gourmet,  Master Bath(s),  Pantry,  Stall Shower,  Tub Shower,  Upgraded Countertops,  Wainscotting,  Wood Floors","Bathroom 1,  Bedroom 1,  Bedroom 2,  Bedroom 3,  Bedroom 4,  Dining Room,  Kitchen,  Living Room,  Master Bathroom,  Master Bedroom,  Sun/Florida Room",Central A/C,"Baseboard - Electric,  Forced Air",Yes,"Built-In Microwave,  Built-In Range,  Dishwasher,  Dryer,  Energy Efficient Appliances,  Oven - Self Cleaning,  Refrigerator,  Stainless Steel Appliances,  Washer,  Water Heater",Basement,2657.0,385000.0,2822.0,2019.0,Single Family,PAPH850534,Negotiable,5227.0,Active,1876.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Germantown,No
18,3016-22 3026 CLIFFORD ST,Philadelphia,PA,19121,,,,,,,No,,,,350000.0,109.0,2019.0,Vacant Land,PAPH849044,"0-30 Days CD,  31-60 Days CD,  Immediate",1307.0,Active,,Philadelphia County,THE SCHOOL DISTRICT OF PHILADELPHIA,,,No
19,1919 CHESTNUT ST #814,Philadelphia,PA,19103,1.0,2.0,"Combination Dining/Living,  Floor Plan - Open,  Kitchen - Galley,  Window Treatments,  Wood Floors","Bathroom 1,  Bedroom 1,  Bedroom 2,  Kitchen,  Living Room",Central A/C,Forced Air,Yes,"Built-In Microwave,  Dishwasher,  Dryer,  Oven - Self Cleaning,  Refrigerator,  Washer","Dryer In Unit,  Main Floor,  Washer In Unit",825.0,350000.0,,2019.0,Condo/Townhome,PAPH850238,Negotiable,,Active,1965.0,Philadelphia County,THE SCHOOL DISTRICT OF PHILADELPHIA,,Rittenhouse Square,No
20,4434 LUDLOW ST,Philadelphia,PA,19104,3.0,3.0,,,Central A/C,Forced Air,Yes,,,1336.0,349000.0,3627.0,2019.0,Condo/Townhome,PAPH850018,Immediate,1307.0,Active,2019.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Spruce Hill,No
0,4432 LUDLOW ST,Philadelphia,PA,19104,3.0,3.0,,,Central A/C,Forced Air,Yes,,,1336.0,349000.0,3627.0,2019.0,Condo/Townhome,PAPH850016,Immediate,1307.0,Active,2019.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Spruce Hill,No
1,1233 N MASCHER ST,Philadelphia,PA,19122,2.0,2.0,"Kitchen - Eat-In,  Walk-in Closet(s),  Wood Floors","Basement,  Bathroom 1,  Bathroom 2,  Bedroom 1,  Bedroom 2,  Kitchen,  Laundry,  Living Room",Ductless/Mini-Split,Hot Water,No,,,1008.0,345000.0,2324.0,2019.0,Condo/Townhome,PAPH850290,"0-30 Days CD,  31-60 Days CD,  Immediate",871.0,Active,1920.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Old Kensington,No
2,201-59 N 8TH ST #713,Philadelphia,PA,19106,1.0,1.0,"Bar,  Carpet,  Combination Dining/Living,  Flat,  Floor Plan - Open,  Master Bath(s),  Upgraded Countertops,  Wood Floors","Kitchen,  Living Room,  Master Bedroom",Central A/C,Central,Yes,"Built-In Microwave,  Built-In Range,  Dishwasher,  Disposal,  Dryer,  Oven - Self Cleaning,  Oven/Range - Electric,  Refrigerator,  Stainless Steel Appliances,  Washer","Dryer In Unit,  Washer In Unit",922.0,338500.0,3276.0,2019.0,Condo/Townhome,PAPH850744,Immediate,0.0,Active,1970.0,Philadelphia County,THE SCHOOL DISTRICT OF PHILADELPHIA,,Old City,No
