,ADDRESS,# ROOMS,BLDG CODE,CODE DESC,BLDG CAT,AC,BLDG DEPTH,EXT COND,FIREPLACES,BLDG FRONT,FUEL,# PARKING,INT COND,MARKET VALUE,# BATH,# BED,# FLOORS,SALE DATE,TOPO,GSF,NSF,HEAT,UNIT #,VIEW,YEAR BUILT,ZIP,ZONING,LATITUDE,LONGITUDE,SALE PRICE,ASKING PRICE,WHITEROCK PRICE,AD / AE DIFF,AD / AF DIFF,AE / AF DIFF
0,3243 A STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,65.5,4,0,16.37,,0,4.0,40700.0,1,3,2,6/5/2019,F,1072.24,1375,H,,I,1935,191342226,RM1  ,39.99945278,-75.12688075,355000,,,,,
1,3317 A STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,70.0,4,0,15.75,,0,4.0,39500.0,1,3,2,7/18/2019,F,1102.5,1502,H,,I,1945,191341601,RM1  ,40.00048399,-75.1266531,38000,,,,,
2,2550 A STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,70.0,5,0,14.0,,0,5.0,39700.0,1,3,2,5/29/2019,F,980.0,1400,H,,I,1875,191251002,RSA5 ,39.98868231,-75.12961709,39000,,,,,
3,155 WEST ABBOTTSFORD AVENUE,7,H30  ,SEMI/DET 2 STY MASONRY,Single Family,,90.0,4,0,19.45,,0,4.0,102400.0,1,4,2,4/18/2019,F,1750.5,1792,,,I,1900,191443611,RSA3 ,40.024449600000004,-75.16400821,115000,,,,,
4,3336 A STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,70.0,4,0,15.75,,0,4.0,39500.0,1,3,2,4/23/2019,F,1102.5,1502,H,,I,1945,191341602,RM1  ,40.00092205,-75.12700607,40000,,,,,
5,3511 A STREET,5,O30  ,ROW 2 STY MASONRY,Single Family,,70.0,4,0,14.0,,0,4.0,40800.0,1,2,2,4/24/2019,F,980.0,1284,H,,E,1920,191341002,I2   ,40.00315562,-75.12607892,52000,,,,,
6,3513 A STREET,5,O30  ,ROW 2 STY MASONRY,Single Family,,70.0,4,0,14.0,,0,4.0,36000.0,1,2,2,7/12/2019,F,980.0,896,,,E,1920,191341002,I2   ,40.00319703,-75.12606858,47000,,,,,
7,4609 A STREET,6,H30  ,SEMI/DET 2 STY MASONRY,Single Family,,87.5,4,0,20.0,,0,4.0,57900.0,1,3,2,6/27/2019,F,1750.0,1312,,,I,1965,191204413,RSA3 ,40.02000009,-75.12243875,65000,,,,,
8,4832 A STREET,0,H31  ,SEMI/DET 2 STY MAS+OTHER,Single Family,,90.0,4,0,18.54,,0,4.0,56300.0,0,0,2,8/30/2019,F,1668.6,1350,,,I,1940,191203941,RSA3 ,40.02394243,-75.12212368,48500,,,,,
9,6036 A STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,Y,106.5,4,0,18.16,,1,4.0,117500.0,1,3,2,5/9/2019,F,1934.04,1224,H,,I,1945,191202005,RSA5 ,40.04222664,-75.11824708,105000,,,,,
10,1754 ABERDEEN STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,72.41,4,0,16.0,,0,4.0,74700.0,1,3,2,7/31/2019,F,1158.56,1464,H,,I,1925,191310000,RSA5 ,39.98156952,-75.2271361,75000,,,,,
11,1 ACADEMY CIRCLE,0,5R   ,CONDO PARKING SPACE,Single Family,,0.0,4,0,0.0,,0,4.0,40000.0,0,0,0,8/21/2019,,0.0,200,,0000P58,0,2007,191465239,RMX1 ,39.94405423,-75.1842813,38000,,,,,
12,1 ACADEMY CIRCLE,0,560,RES CONDO 3.5 STY MASONRY,Single Family,Y,0.0,3,0,0.0,,0,3.0,350000.0,1,1,0,7/18/2019,,0.0,917,A,311,I,2006,191465100,RMX1 ,39.94405423,-75.1842813,375000,,,,,
13,1 ACADEMY CIRCLE,0,5R   ,CONDO PARKING SPACE,Single Family,,0.0,4,0,0.0,,0,4.0,40000.0,0,0,0,5/30/2019,,0.0,200,,0000P13,0,2007,191465239,RMX1 ,39.94405423,-75.1842813,40000,,,,,
14,9559 ACADEMY ROAD,0,C16  ,DET W/D GAR 1 STY FRAME,Single Family,,445.0,4,0,224.0,,4,4.0,647000.0,0,0,1,9/23/2019,F,108574.0,2972,,,I,1950,191142003,RSA1 ,40.06966697,-75.00490941,950000,,,,,
15,611 ADAMS AVENUE,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,90.66,4,0,16.2,,1,4.0,103100.0,1,3,2,5/10/2019,F,1468.69,1196,A,,I,1950,191202111,RSA5 ,40.03471135,-75.10768245,105000,,,,,
16,11871 ACADEMY ROAD,0,531,RES CONDO 2 STY MAS+OTH,Single Family,Y,0.0,4,0,0.0,,0,4.0,103500.0,0,0,0,5/24/2019,,0.0,1326,,00000H3,I,1980,191542601,RM2  ,40.09070067,-74.98334096,120000,,,,,
17,12135 ACADEMY ROAD,0,530,RES CONDO 2 STY MASONRY,Single Family,Y,0.0,4,0,0.0,,0,4.0,100800.0,0,0,0,9/10/2019,,0.0,1200,,53,I,1970,191542907,RM2  ,40.09460707,-74.97786254,141000,,,,,
18,1255-57 ADAMS AVENUE,0,W30  ,APT 2-4 UNITS 2 STY MASON,Multi Family,,116.6,4,0,39.0,,0,4.0,86300.0,0,0,0,4/3/2019,F,1591.0,2416,,,I,1930,191243929,RM1  ,40.01369439,-75.09258633,60000,,,,,
19,1431 ADAMS AVENUE,6,O30  ,ROW 2 STY MASONRY,Single Family,,56.99,4,0,13.62,,0,4.0,54200.0,1,3,0,6/20/2019,F,776.2,1079,,,E,1935,191244503,RSA5 ,40.01005219,-75.09282973,60000,,,,,
20,1507 ADAMS AVENUE,6,O30  ,ROW 2 STY MASONRY,Single Family,N,87.41,4,0,14.56,,0,4.0,47100.0,1,2,2,5/17/2019,F,1090.0,840,B,,I,1940,191244505,RSA5 ,40.00965383,-75.09238119,35250,,,,,
21,1509 ADAMS AVENUE,6,O30  ,ROW 2 STY MASONRY,Single Family,,91.5,4,0,14.0,,0,4.0,47300.0,1,3,2,4/26/2019,F,1281.0,840,,,I,1940,191244505,RSA5 ,40.00962955,-75.09234564,58000,,,,,
22,1528 ADAMS AVENUE,0,N36  ,S/D CONV APT 2 STY FRAME,Multi Family,,78.5,3,0,16.29,,0,3.0,135500.0,0,0,2,8/26/2019,F,1278.76,1952,,,I,1940,191244556,CMX1 ,40.00893896,-75.09218027,160000,,,,,
23,1530 ADAMS AVENUE,0,H46  ,SEMI/DET 2.5 STY FRAME,Single Family,,94.25,4,0,19.0,,0,4.0,61200.0,1,2,0,4/12/2019,F,1790.75,1020,,,I,1940,191244556,RSA5 ,40.00889223,-75.09215624,38000,,,,,
24,1219 ADAMS AVENUE,0,O50  ,ROW 3 STY MASONRY,Single Family,N,86.0,4,0,14.05,,0,4.0,55800.0,0,0,0,7/18/2019,F,1208.3,1148,H,,I,1930,191243901,RSA5 ,40.01459966,-75.09301477,36000,,,,,
25,5238 ADDISON STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,64.5,4,0,15.0,,0,4.0,83000.0,1,3,2,9/26/2019,F,967.5,1140,,,I,1925,191431517,RM1  ,39.95252669,-75.22755868,67000,,,,,
26,5250 ADDISON STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,64.5,4,0,15.0,,0,4.0,83000.0,1,3,2,7/9/2019,F,967.5,1140,,,I,1925,191431517,RM1  ,39.95256615,-75.22787857,70000,,,,,
27,4211 ADAMS AVENUE,6,O30  ,ROW 2 STY MASONRY,Single Family,,100.0,4,0,14.08,,0,4.0,51200.0,1,3,0,8/26/2019,F,1408.0,1008,,,I,1930,191243955,RSA5 ,40.01147306,-75.09334648,47000,,,,,
28,4223 ADAMS AVENUE,6,O30  ,ROW 2 STY MASONRY,Single Family,N,100.0,4,0,14.47,,0,4.0,44600.0,1,3,0,5/8/2019,F,1447.0,781,B,,I,1930,191243955,RSA5 ,40.01169805,-75.09320625,25000,,,,,
29,5326 ADDISON STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,60.0,4,0,15.0,,0,4.0,50800.0,1,3,2,8/8/2019,F,900.0,978,A,,I,1925,191431403,RM1  ,39.95273391,-75.22926252,110000,,,,,
30,5341 ADDISON STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,60.0,5,0,15.0,,0,5.0,36500.0,1,3,2,4/12/2019,F,900.0,978,,,I,1925,191431402,RM1  ,39.95303864,-75.22957697,55000,,,,,
31,5934 ADDISON STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,62.5,5,0,14.25,,0,5.0,34100.0,1,3,2,5/7/2019,F,890.63,933,,,I,1925,191431108,RM1  ,39.95426512,-75.24150234,38000,,,,,
