,# BATH,# BED,# BLDG,# COMM,# FIREPLACE,# FLOORS,# POWDER,# ROOMS,# UNITS,# UNITS.1,ADDRESS,AIRPORT NOISE,ATTIC,ATTIC COND,BASEMENT,BASEMENT COND,BATH,BED,BLDG ASSD $ PY,BLDG CAT,BLDG CODE,BLDG CODE DEF,BLDG CODE.1,CATHEDRAL CEILING,CENTRAL AIR,CENTRAL AIR ,CENTRAL HEATING,CITY,CONST QUALITY,Deed No.,ENCLOSED PORCH,EXT MATERIAL,FEMA,GARAGE 1,GARAGE 1 AREA,GARAGE 1 MATERIAL,GARAGE AREA,GARAGE ATTACHED,GSF,INT COND,LAND ASSD $ PY,LAND ASSD $ py,LAND SF,LATITUDE,LONGITUDE,Modeling Group,NEIGHBORHOOD,Near Major Road,OTHER HEATING,PIN,ROOF MATERIAL,STATE,Sale Date,TAX YEAR,TOWN,Total Building Square Feet,Town and Neighborhood,YEAR BUILT,ZIP,SALE PRICE,SALE DATE,PROPERTY TYPE
0,1.0,2.0,2.0,0.0,1.0,1,0.0,4.0,0.0,,6956 WEST FARRAGUT AVENUE,1.0,3.0,0.0,1.0,3.0,,,"199,690",1,202,SMALL 1 STORY,1.0,2.0,,0.0,1.0,,2.0,1900906014.0,0.0,2.0,0.0,1,nan,1.0,0.0,0,,2.0,,"31,250",2500,41.97658605,-87.80192735,SF,430.0,0.0,5.0,13071300000000,1.0,,1/1/2020,2019.0,71.0,,71430.0,63.0,,305000.0,2020-02-06 00:00:00,Single Family Residence
1,2.0,3.0,2.0,0.0,1.0,1.5,1.0,7.0,0.0,,6302 WEST WAVELAND AVENUE,0.0,2.0,1.0,1.0,1.0,,,"282,320",5,203,MEDIUM 1 STORY,1.0,2.0,,1.0,1.0,,2.0,1901006100.0,0.0,2.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"58,810",4705,41.94777123,-87.78417763,SF,150.0,0.0,5.0,13201200000000,1.0,,1/1/2020,2019.0,71.0,,71150.0,98.0,,449000.0,2020-02-19 00:00:00,Single Family Residence
2,1.0,3.0,2.0,0.0,1.0,1,0.0,5.0,0.0,,3656 NORTH ARTESIAN AVENUE,0.0,3.0,0.0,2.0,3.0,,,"564,490",1,203,MEDIUM 1 STORY,1.0,0.0,,0.0,1.0,,2.0,1901808148.0,0.0,1.0,0.0,1,nan,1.0,0.0,0,,2.0,,"99,060",4503,41.94841132,-87.68988459999998,SF,82.0,0.0,5.0,13242100000000,1.0,,1/1/2020,2019.0,71.0,,7182.0,90.0,,1252000.0,2020-02-06 00:00:00,Single Family Residence
3,1.0,3.0,2.0,0.0,1.0,1,0.0,6.0,0.0,,5553 NORTH LEAVENWORTH AVENUE,0.0,2.0,3.0,1.0,3.0,,,"205,660",1,203,MEDIUM 1 STORY,1.0,2.0,,1.0,1.0,,2.0,1904217023.0,1.0,1.0,0.0,1,nan,1.0,0.0,0,,2.0,,"50,620",3750,41.9823249,-87.76077542,SF,10.0,0.0,5.0,13091200000000,1.0,,1/1/2020,2019.0,71.0,,7110.0,112.0,,230000.0,2020-02-14 00:00:00,Single Family Residence
4,1.0,3.0,2.0,0.0,1.0,2,1.0,6.0,0.0,,3947 NORTH NEWLAND AVENUE,0.0,3.0,0.0,1.0,3.0,,,"249,290",2,205,2 OR MORE STORIES,1.0,2.0,,1.0,2.0,,2.0,1905117053.0,0.0,2.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"38,750",3100,41.95223453,-87.79954919,SF,150.0,0.0,5.0,13191100000000,1.0,,1/1/2020,2019.0,71.0,,71150.0,86.0,,412500.0,2020-02-13 00:00:00,Single Family Residence
5,6.0,7.0,2.0,0.0,2.0,2,1.0,16.0,0.0,,7400 NORTH SHERIDAN ROAD,0.0,1.0,1.0,1.0,1.0,,,"936,070",2,209,2 OR MORE STORIES,1.0,2.0,,1.0,1.0,,2.0,1906417062.0,2.0,2.0,0.0,2,nan,2.0,0.0,0,,2.0,,"213,300",14711,42.01737961,-87.66594621,SF,31.0,1.0,5.0,11293100000000,5.0,,1/1/2020,2019.0,75.0,,7531.0,102.0,,1250000.0,2020-01-29 00:00:00,Governmental / Public Use (general)
6,1.0,3.0,2.0,0.0,1.0,1.5,1.0,5.0,0.0,,5049 NORTH MELVINA AVENUE,0.0,1.0,1.0,1.0,1.0,,,"244,380",5,202,SMALL 1 STORY,1.0,2.0,,1.0,1.0,,2.0,1907357040.0,1.0,1.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"51,150",4092,41.97347023,-87.78272290000001,SF,430.0,0.0,5.0,13083100000000,1.0,,1/1/2020,2019.0,71.0,,71430.0,69.0,,329000.0,2020-02-04 00:00:00,Single Family Residence
7,6.0,12.0,2.0,0.0,1.0,3,0.0,24.0,6.0,,5542 WEST BRYN MAWR AVENUE,0.0,3.0,0.0,2.0,3.0,,,"539,770",3,211,MULTI: 2 TO 6 UNITS,2.0,2.0,,0.0,1.0,,2.0,1908555045.0,0.0,2.0,0.0,0,nan,0.0,0.0,0,,2.0,,"67,360",4990,41.98319766,-87.76762069,MF,10.0,0.0,5.0,13043100000000,1.0,,1/1/2020,2019.0,71.0,,7110.0,46.0,,199000.0,2020-02-05 00:00:00,Apartment house (5+ units)
8,2.0,3.0,2.0,0.0,1.0,2,0.0,5.0,0.0,,2901 NORTH NEVA AVENUE,0.0,3.0,0.0,2.0,3.0,,,"315,990",2,205,2 OR MORE STORIES,1.0,0.0,,0.0,1.0,,2.0,1908749153.0,0.0,1.0,0.0,1,nan,1.0,0.0,0,,2.0,,"50,510",4041,41.93271806,-87.80498921,SF,200.0,0.0,5.0,13301200000000,1.0,,1/1/2020,2019.0,71.0,,71200.0,65.0,,395000.0,2020-02-18 00:00:00,Single Family Residence
9,1.0,2.0,2.0,0.0,1.0,1,0.0,4.0,0.0,,4701 NORTH KELSO AVENUE,0.0,2.0,3.0,1.0,3.0,,,"211,270",1,202,SMALL 1 STORY,1.0,2.0,,0.0,1.0,,2.0,1909908299.0,0.0,2.0,0.0,1.5,nan,1.0,0.0,0,,2.0,,"42,180",3125,41.96611617,-87.73317573,SF,71.0,0.0,5.0,13152100000000,1.0,,1/1/2020,2019.0,71.0,,7171.0,95.0,,398500.0,2020-02-24 00:00:00,Single Family Residence
